entry|filename|title|author|year|path|count
0|01tom11.txt|Tom Swift and His Motor-Cycle|Victor Appleton|1910|_theData|2
1|06tom11.txt|Tom Swift and his Wireless Message|Victor Appleton|1921|_theData|2
2|07woz11.txt|The Patchwork Girl of Oz|L Frank Baum|1988|_theData|3
4|08woz11.txt|Tik-Tok of Oz|L Frank Baum|1914|_theData|4
8|10001.txt|Apocolocyntosis|Lucius Seneca|1902|_theData|1
18|10010.txt|The Eulogies of Howard|William Hayley|1978|_theData|1
19|10011-8.txt|365 Foreign Dishes|Unknown|1908|_theData|2
20|10012-8.txt|The Mountains of California|John Muir|1917|_theData|2
31|10023.txt|There's Pippins And Cheese To Come|Charles S Brooks|1917|_theData|1
33|10025-8.txt|Gaslight Sonatas|Fannie  Hurst|1918|_theData|2
37|10029-8.txt|The Hunt Ball Mystery|Magnay William|1918|_theData|2
49|10041-8.txt|The Rivet in Grandfather's Neck|James Branch Cabell|1915|_theData|2
50|10042-8.txt|The Child Under Eight|ER Murray and Henrietta Brown Smith|1919|_theData|2
53|10045.txt|Dave Darrin's Second Year at Annapolis|H Irving Hancock|1911|_theData|1
54|10046.txt|Salute to Adventurers|John Buchan|1915|_theData|1
56|10048.txt|Billie Bradley and Her Inheritance|Janet D Wheeler|1920|_theData|1
58|1005.txt|Hell|Dante Alighieri|1910|_theData|2
62|10056-8.txt|Chinese Literature|Anonymous|1900|_theData|2
63|10057.txt|The Secret of the Tower|Hope Anthony|1919|_theData|1
65|10059.txt|Aunt Jane's Nieces on Vacation|Edith Van Dyne|1912|_theData|1
69|10063.txt|Happiness and Marriage|Elizabeth Jones Towne|1904|_theData|1
70|10064-8.txt|Beltane The Smith|Jeffery Farnol|1924|_theData|2
80|10073-8.txt|The Century Vocabulary Builder|Creever  Bachelor|1922|_theData|1
82|10076-8.txt|Lister's Great Adventure|Harold Bindloss|1920|_theData|2
84|10078-8.txt|Plain Words From America|Douglas W Johnson|1917|_theData|2
86|10080-8.txt|Mobilizing Woman-Power|Harriot Stanton Blatch|1918|_theData|2
88|10082-8.txt|The Hampstead Mystery|John R Watson|1916|_theData|2
89|10083.txt|The House of the Whispering Pines|Anna Katharine Green|1910|_theData|1
90|10084-8.txt|Kazan|James Oliver Curwood|1917|_theData|2
91|10085-8.txt|Moorish Literature|Anonymous|1901|_theData|2
100|10094-8.txt|A Soldier of Virginia|Burton Egbert Stevenson|1901|_theData|2
102|10096-8.txt|The Trojan women of Euripides|Euripides|1915|_theData|4
103|10097-8.txt|The Healing of Nations and the Hidden Sources of Their Strife|Edward Carpenter|1917|_theData|2
104|10098-8.txt|How Jerusalem Was Won|WT Massey|1919|_theData|2
108|10101.txt|A Little Boy Lost|Hudson W H|1905|_theData|3
116|10109.txt|The Unspeakable Gentleman|John P Marquand|1922|_theData|1
117|10110-8.txt|The Postmaster's Daughter|Louis Tracy|1916|_theData|2
118|10111-8.txt|Boys and girls from Thackeray|Kate Dickinson Sweetser|1907|_theData|2
124|10120-8.txt|England of My Heart--Spring|Edward Hutton|1914|_theData|2
126|10122-8.txt|Fairies and Fusiliers|Robert Graves|1919|_theData|2
127|10123.txt|Aunt Jane's Nieces|Edith Van Dyne|1910|_theData|1
129|10125-8.txt|The Best Letters of Charles Lamb|Charles Lamb|1909|_theData|2
133|10129-8.txt|Excellent Women|Various|1904|_theData|2
134|1013.txt|The First Men In The Moon|H G Wells|1901|_theData|2
135|10130-8.txt|Books for Children|Charles and Mary Lamb|1903|_theData|2
139|10134.txt|John Wesley, Jr.|Dan B Brummitt|1921|_theData|1
144|1014-0.txt|The Lure of the Dim Trails|by AKA B M Sinclair B M Bower|1907|_theData|2
145|10140-0.txt|Rhetoric and Poetry in the Renaissance|Donald Lemen Clark|1922|_theData|1
152|10147-8.txt|America's War for Humanity|Thomas Herbert Russell|1919|_theData|2
153|10148.txt|The Merry Adventures of Robin Hood|Howard Pyle|1914|_theData|2
159|1016.txt|On the Improvement of the Understanding|Baruch Spinoza  Benedict de Spinoza|1951|_theData|1
162|10163-8.txt|Mohammedanism|C Snouck Hurgronje|1916|_theData|2
163|10164-8.txt|The Black Creek Stopping-House|Nellie McClung|1912|_theData|2
166|1017-0.txt|The Soul of Man|Oscar Wilde|1905|_theData|2
170|1020-8.txt|Sword Blades and Poppy Seed|Amy Lowell|1914|_theData|2
171|10201-8.txt|The Desert of Wheat|Zane Grey|1947|_theData|2
179|10217-8.txt|The Land Of Little Rain|Mary Hunter Austin|1950|_theData|4
182|10220.txt|Daddy Takes Us Skating|Howard R Garis|1914|_theData|1
183|10221.txt|Purple Springs|Nellie L McClung|1922|_theData|1
185|10224-8.txt|Our Little Alaskan Cousin|Mary F NixonRoulet|1907|_theData|2
187|10226.txt|Beautiful Joe|by Marshall Saunders|1904|_theData|3
190|1024-0.txt|The Wrecker|Robert Louis Stevenson and Lloyd Osbourne|1903|_theData|2
192|1026-0.txt|The Diary of a Nobody|George Grossmith|1923|_theData|2
194|10267.txt|The Outdoor Chums|Captain Quincy Allen|1911|_theData|1
196|1027-0.txt|The Lone Star Ranger|Zane Grey|1915|_theData|2
199|1029-0.txt|The Night-Born|Jack London|1913|_theData|2
209|10316.txt|Roy Blakeley's Adventures in Camp|Percy Keese Fitzhugh|1920|_theData|1
210|10317-8.txt|Betty Gordon at Boarding School|Alice Emerson|1921|_theData|2
211|10318-8.txt|Damon and Delia|William Godwin|1992|_theData|2
213|1032-0.txt|The Pupil|Henry James|1908|_theData|2
215|10321-8.txt|Dragon's blood|Henry Milner Rideout|1909|_theData|2
223|1033.txt|Rose O' the River|Kate Douglas Wiggin|1905|_theData|1
224|10330-0.txt|Fruitfulness|Emile Zola|1900|_theData|2
226|10333-8.txt|The European Anarchy|G Lowes Dickinson|1916|_theData|2
229|10337.txt|Lady Into Fox|David Garnett|1922|_theData|1
